# H1+ZEUS combined NC ins836107 — Aaron et al., JHEP 01 (2010) 109.
# Fractions are symmetric averages of +/- %% columns on each sigma_r CSV row.
# HEPData ins836107 record text: first sys = uncorrelated experimental; second = correlated experimental;
# sys_3..sys_5 = three correlated combination sources; plus 0.5%% overall normalisation row.
# z_Q2_over_s_x = Q^2/(E_cm^2 * x); equals quoted y for standard DIS kinematics at fixed E_cm.
# sigma_rel_total_quadrature matches sqrt(sum of squared listed components) when none are missing.
Q2_GeV2,x,y_Bjorken,Ecm_GeV,F2,z_Q2_over_s_x,sigma_rel_stat,sigma_rel_sys_uncorrelated_experimental,sigma_rel_sys_correlated_experimental,sigma_rel_sys_combination_1,sigma_rel_sys_combination_2,sigma_rel_sys_combination_3,sigma_rel_sys_overall_normalisation,sigma_rel_total_quadrature_listed_sigma_r,sigma_rel_total_quadrature_rebuilt
2.7,0.0005,0.053,319.0,0.647,0.053065516258684574,0.0069,0.013500000000000002,0.0096,0.0033,0.0006,0.003,0.005,0.019164289707682882,0.019164289707682882
2.7,0.0008,0.033,319.0,0.596,0.03316594766167785,0.0087,0.0184,0.008,0.0028000000000000004,0.001,0.002,0.005,0.022717614311366412,0.022717614311366412
2.7,0.0013,0.021,319.0,0.57,0.020409813945647913,0.0068000000000000005,0.0163,0.009000000000000001,0.0033,0.0004,0.0016,0.005,0.020773540863319378,0.020773540863319378
2.7,0.002,0.013,319.0,0.484,0.013266379064671143,0.009000000000000001,0.0274,0.009000000000000001,0.0022,0.0016,0.0033,0.005,0.030920058214692934,0.030920058214692934
2.7,0.005,0.005,319.0,0.46,0.0053065516258684565,0.0074,0.0182,0.0137,0.0038,0.0024,0.009000000000000001,0.005,0.026455434224370612,0.026455434224370612
2.7,0.02,0.001,319.0,0.358,0.0013266379064671141,0.0254,0.0245,0.0739,0.0052,0.0125,0.018000000000000002,0.005,0.0850817841843952,0.0850817841843952
3.5,8e-05,0.485,301.0,0.997,0.48288650235648606,0.0098,0.012199999999999999,0.0102,0.0037,0.0171,0.0043,0.005,0.026429339757171384,0.026429339757171384
3.5,8e-05,0.432,319.0,0.972,0.42992895116989804,0.0126,0.0167,0.008,0.0021,0.0037,0.0014000000000000002,0.005,0.023381830552803174,0.023381830552803174
3.5,0.00013,0.266,319.0,0.928,0.26457166225839884,0.0066,0.0086,0.0067,0.0027,0.0014000000000000002,0.0026,0.005,0.01426253834350674,0.01426253834350674
3.5,0.0002,0.173,319.0,0.86,0.17197158046795924,0.0068000000000000005,0.0083,0.0069,0.0027,0.0009,0.0021,0.005,0.014150971698084906,0.014150971698084906
3.5,0.00032,0.108,319.0,0.796,0.10748223779247451,0.0072,0.0088,0.0075,0.0044,0.0017000000000000001,0.0004,0.005,0.015262372030585548,0.015262372030585548
3.5,0.0005,0.069,319.0,0.754,0.0687886321871837,0.0075,0.011699999999999999,0.0077,0.0024,0.0014000000000000002,0.0033,0.005,0.017205812971202494,0.017205812971202494
3.5,0.0008,0.043,319.0,0.663,0.04299289511698981,0.0067,0.0116,0.008,0.0023,0.0022,0.0024,0.005,0.016862384173064023,0.016862384173064023
3.5,0.0013,0.027,319.0,0.627,0.026457166225839882,0.0087,0.0138,0.0086,0.0029,0.002,0.0017000000000000001,0.005,0.019503589413233657,0.019503589413233657
3.5,0.002,0.017,319.0,0.571,0.017197158046795925,0.0051,0.0087,0.0073,0.0033,0.0003,0.0015,0.005,0.013900359707575916,0.013900359707575916
3.5,0.008,0.004,319.0,0.463,0.004299289511698981,0.0059,0.011200000000000002,0.0103,0.0038,0.0013,0.0,0.005,0.01753482249696301,0.01753482249696301
4.5,0.00013,0.384,301.0,1.029,0.3820640458205165,0.0102,0.0168,0.008100000000000001,0.0031,0.0060999999999999995,0.0034999999999999996,0.005,0.023150809921037317,0.023150809921037317
4.5,0.00013,0.342,319.0,1.045,0.34016356576079854,0.013000000000000001,0.01,0.006999999999999999,0.003,0.0033,0.0021,0.005,0.019165072397463047,0.019165072397463047
4.5,0.0002,0.222,319.0,0.972,0.22110631774451903,0.0074,0.0091,0.0070999999999999995,0.0032,0.0002,0.0025,0.005,0.01514958745312888,0.01514958745312888
4.5,0.00032,0.139,319.0,0.899,0.13819144859032437,0.008,0.0096,0.0066,0.0022,0.0,0.0014000000000000002,0.005,0.015215781281288187,0.015215781281288187
4.5,0.0005,0.089,319.0,0.801,0.08844252709780762,0.0083,0.0088,0.0074,0.0046,0.0002,0.0025,0.005,0.015922939427128396,0.015922939427128396
4.5,0.0008,0.056,319.0,0.724,0.05527657943612976,0.008199999999999999,0.0129,0.0076,0.0022,0.0011,0.0016,0.005,0.018028311068982585,0.018028311068982585
4.5,0.0013,0.034,319.0,0.669,0.03401635657607985,0.0085,0.0131,0.0087,0.0026,0.0,0.0009,0.005,0.01876486077752777,0.01876486077752777
4.5,0.002,0.022,319.0,0.618,0.022110631774451904,0.0088,0.0131,0.0079,0.002,0.0034000000000000002,0.0024,0.005,0.018915073354338334,0.018915073354338334
4.5,0.0032,0.014,319.0,0.575,0.01381914485903244,0.0067,0.0123,0.0086,0.0028000000000000004,0.001,0.0029,0.005,0.017674557985986526,0.017674557985986526
4.5,0.013,0.003,319.0,0.432,0.0034016356576079846,0.0070999999999999995,0.018600000000000002,0.0146,0.0025,0.0034000000000000002,0.0074,0.005,0.026591351977663717,0.026591351977663717
6.5,0.00013,0.554,301.0,1.227,0.5518702884074128,0.0111,0.006,0.0104,0.0043,0.0184,0.0039000000000000003,0.005,0.025780418925998857,0.025780418925998857
6.5,0.00013,0.494,319.0,1.167,0.49134737276559787,0.0167,0.0222,0.0083,0.0017000000000000001,0.002,0.0001,0.005,0.029538449519228325,0.029538449519228325
