Q2,beta,x,xF2D3,rel_err,table,model_gcft_template,delta_rel_model_minus_data
28.0,0.4,0.00237,0.0337,5.7801384066473704e-05,Table6.csv,0.04081971254687975,0.21126743462551187
28.0,0.4,0.00421,0.0401,6.350590523722971e-05,Table6.csv,0.03999994580089182,-0.0024951171847425587
28.0,0.4,0.0075,0.0331,6.762396025078684e-05,Table6.csv,0.03919267357795832,0.1840686881558405
28.0,0.4,0.0133,0.047,9.720082304178292e-05,Table6.csv,0.0384079031834412,-0.18281057056508085
28.0,0.65,0.00075,0.0539,9.436630754670864e-05,Table6.csv,0.04903006137565576,-0.09035136594330687
28.0,0.65,0.00133,0.0451,7.470609078247904e-05,Table6.csv,0.0423930772189631,-0.06002046077687145
28.0,0.65,0.00237,0.0335,6.191122676865642e-05,Table6.csv,0.03660940362234535,0.092818018577473
28.0,0.65,0.00421,0.0236,4.477722635447622e-05,Table6.csv,0.03163999588708103,0.3406777918254674
28.0,0.65,0.0075,0.0341,5.99332962550868e-05,Table6.csv,0.027325239235568146,-0.19867333620034758
28.0,0.65,0.0133,0.0217,4.83735464897913e-05,Table6.csv,0.02362634156348916,0.08877150062162026
28.0,0.65,0.0237,0.0223,7.571657678474378e-05,Table6.csv,0.020403007546483665,-0.08506692616665182
28.0,0.9,0.00133,0.0321,8.335466393669883e-05,Table6.csv,0.033483536824691684,0.04310083566017719
28.0,0.9,0.00237,0.0249,7.409453421137082e-05,Table6.csv,0.027929433400906714,0.12166399200428578
28.0,0.9,0.00421,0.026,6.718630812896329e-05,Table6.csv,0.023319585448387255,-0.10309286736972093
28.0,0.9,0.0075,0.0249,7.8e-05,Table6.csv,0.019453086874995036,-0.2187515311246973
28.0,0.9,0.0133,0.014,5.166236541235796e-05,Table6.csv,0.016251019406313637,0.16078710045097408
28.0,0.9,0.0237,0.0129,7.376313442364011e-05,Table6.csv,0.013555371004617832,0.050803953846343584
45.0,0.04,0.00133,0.0585,0.00011244998888394787,Table7.csv,,
45.0,0.1,0.00133,0.0384,7.249827584156744e-05,Table7.csv,0.03840000000000007,1.9877039828900917e-15
45.0,0.1,0.00237,0.0328,7.463243262818116e-05,Table7.csv,0.032800000000000044,1.2693098604708343e-15
45.0,0.2,0.00133,0.0268,5.412947441089743e-05,Table7.csv,0.031099477891124456,0.1604282795195692
45.0,0.2,0.00237,0.0406,6.630987860040161e-05,Table7.csv,0.031545272651603194,-0.22302284109351733
45.0,0.2,0.00421,0.0302,5.5470712993434654e-05,Table7.csv,0.03199498379951738,0.059436549652893356
45.0,0.2,0.0075,0.031,6.307138812488592e-05,Table7.csv,0.032453398782371606,0.046883831689406665
45.0,0.4,0.00133,0.0347,7.58946638440411e-05,Table7.csv,0.033315521907425406,-0.03989850410877796
45.0,0.4,0.00237,0.0387,7.308214556237386e-05,Table7.csv,0.031807041476579284,-0.1781126233442045
45.0,0.4,0.00421,0.0215,4.870318264754368e-05,Table7.csv,0.030374507579732552,0.41276779440616534
45.0,0.4,0.0075,0.0273,5.9481089431852205e-05,Table7.csv,0.028999821670164995,0.06226453004267376
45.0,0.4,0.0133,0.0328,7.961155694998057e-05,Table7.csv,0.027697522306997,-0.15556334429887203
45.0,0.65,0.00133,0.0418,8.538149682454624e-05,Table7.csv,0.035735552135727114,-0.1450824847912173
45.0,0.65,0.00237,0.0262,5.943904440685432e-05,Table7.csv,0.03164759132962686,0.20792333319186496
45.0,0.65,0.00421,0.0294,6.711929677819934e-05,Table7.csv,0.028045774398782825,-0.04606209527949571
45.0,0.65,0.0075,0.024,5.99332962550868e-05,Table7.csv,0.024838897644585425,0.0349540685243927
45.0,0.65,0.0133,0.0199,4.7759815745038204e-05,Table7.csv,0.022019903548385802,0.10652781650179906
45.0,0.65,0.0237,0.022,6.5e-05,Table7.csv,0.01950094141459764,-0.11359357206374367
45.0,0.9,0.00237,0.0291,9.654014708917737e-05,Table7.csv,0.031120224102696367,0.06942350868372392
45.0,0.9,0.00421,0.0204,7.316419889536138e-05,Table7.csv,0.01986369277578422,-0.02628956981449907
45.0,0.9,0.0075,0.0088,4.1303752856126765e-05,Table7.csv,0.012650395649793127,0.4375449602037644
45.0,0.9,0.0133,0.0201,7.942921376924237e-05,Table7.csv,0.008085413674507227,-0.5977406132085956
45.0,0.9,0.0237,0.0031,3.22490309931942e-05,Table7.csv,0.005148189462015654,0.6607062780695659
75.0,0.1,0.00237,0.0453,0.0001015332457867865,Table8.csv,0.04529999999999999,-1.5317646586991673e-16
75.0,0.1,0.00421,0.061,0.00016282813024781682,Table8.csv,0.060999999999999936,-1.0237712317240173e-15
75.0,0.2,0.00237,0.0341,8.18413098624405e-05,Table8.csv,0.036716787197282434,0.07673862748628844
75.0,0.2,0.00421,0.0407,7.915806970865321e-05,Table8.csv,0.03511828413137674,-0.13714289603496949
